Suburb,Average of Price,Average of Car,Average of Bedroom2,Average of Bathroom
Scoresby,967316.67,2,4,2
Seabrook,614800.00,2,3,2
Seaford,747596.77,2,3,2
Seaholme,1117045.45,3,3,2
Seddon,981000.00,1,3,1
Silvan,1077500.00,3,4,2
Skye,552674.50,3,4,2
South Kingsville,787527.78,2,3,2
South Melbourne,1395016.39,1,3,2
South Morang,645268.12,2,4,2
South Yarra,1097722.40,1,2,1
Southbank,621011.11,1,2,1
Spotswood,967291.67,2,3,1
Springvale,830267.86,2,3,1
Springvale South,782700.00,2,3,1
St Albans,641186.30,2,3,1
St Helena,956333.33,2,4,2
St Kilda,889465.78,1,2,1
Strathmore,1253232.67,2,3,2
Strathmore Heights,973999.88,3,4,2
Sunbury,545050.44,2,3,2
Sunshine,747830.91,2,3,1
Sunshine North,669290.00,2,3,1
Sunshine West,627274.05,2,3,1
Surrey Hills,1679993.83,2,3,2
Sydenham,598911.76,2,3,2
Tarneit,517519.23,2,3,2
Taylors Hill,677407.41,2,4,2
Taylors Lakes,746095.74,2,4,2
Templestowe,1537782.80,2,4,2
Templestowe Lower,1221606.30,2,4,2
The Basin,584550.00,2,3,1
Thomastown,671921.88,2,3,1
Thornbury,1013345.51,1,3,1
Toorak,1564910.09,1,2,2
Travancore,1091535.71,2,3,2
Truganina,544771.88,2,3,2
Tullamarine,621039.47,2,3,1
Upwey,825000.00,2,4,2
Vermont,1061189.66,2,4,2
Vermont South,1216677.42,2,4,2
Viewbank,978689.52,2,4,2
Wallan,483700.00,2,4,2
Wandin North,1150000.00,2,4,2
Wantirna,1002793.58,2,4,2
Wantirna South,1078272.75,2,4,2
Warrandyte,1347900.00,2,4,2
Warranwood,1032500.00,2,5,2
Waterways,1103500.00,2,4,2
Watsonia,773175.34,2,3,1
Watsonia North,803818.18,2,4,1
Wattle Glen,835000.00,2,4,2
Werribee,538757.66,2,3,2
Werribee South,640000.00,2,4,3
West Footscray,816727.59,2,3,1
West Melbourne,1115069.77,1,3,2
Westmeadows,639566.18,2,3,2
Wheelers Hill,1232416.66,2,4,2
Whittlesea,515333.33,1,3,2
Wildwood,1030000.00,2,5,2
Williams Landing,631666.67,2,4,2
Williamstown,1368712.42,2,3,2
Williamstown North,908704.55,2,3,2
Windsor,1055294.52,1,2,1
Wollert,591555.81,2,3,2
Wonga Park,1357500.00,2,4,3
Wyndham Vale,489151.61,2,3,2
Yallambie,850716.67,2,4,2
Yarra Glen,620000.00,1,3,2
Yarraville,1012867.80,2,3,1
